"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"358","Cuniculus",9219,4.29380786199997,2,3.41,3.44,1.59,5.27
"359","Cuscomys",9476,0.216249278599975,2,0.99,1.49,0.01,4.48
"360","Cynomops",7240,1.49835438689996,5,2.92,3.17,1.45,5.85
"361","Cynomys",9058,1.91637644929995,5,1.61,1.64,0.98,2.4
"362","Cynopterus",8350,3.5976883047,7,4.68,4.78,3.13,6.5
"363","Dactylomys",9296,4.97921590649995,3,3.7,3.77,2.24,5.55
"364","Dactylopsila",11819,2.06211537800002,3,5.02,5.34,0.43,10.8
"365","Dama",6592,2.80794056629998,2,2.76,2.79,1.6,4.13
"366","Damaliscus",6776,1.51071236209998,2,2.26,2.34,1.16,3.67
"367","Dasycercus",11655,2.7602620559,2,2.57,3.27,0.02,8.42
"368","Dasymys",9937,2.27066298789995,5,3.62,4.91,1.68,12.07
"369","Dasyprocta",9223,5.77461354899995,11,4.68,4.93,2.64,7.78
"370","Dasypus",11340,24.664124104,7,19.46,20.8,7.36,37.68
"371","Dasyurus",11641,11.2933064783,6,9.55,9.65,7.47,12
"372","Delomys",10881,4.37768055259991,4,3.66,3.71,2.51,5.09
"373","Delphinus",6548,0.795213231769907,2,0.41,0.43,0.1,0.77
"374","Dendrogale",8381,18.533148898,2,24.6,25.11,16.39,35.08
"375","Dendrohyrax",11385,2.88081527809996,3,5.09,5.44,0.64,10.91
"376","Dendrolagus",11716,13.190433248,14,11.21,11.39,8.78,14.15
"377","Dendromus",11033,24.677216516,13,23.27,23.46,17.15,29.87
"378","Dermanura",7883,4.18608664340007,12,5.02,5.05,3.77,6.29
"379","Desmalopex",8233,0.922638602500029,2,1.09,1.15,0.29,2
"380","Desmodus",7981,0.731760216000055,2,1.94,3.01,0.01,9.44
"381","Desmomys",9906,0.998810369899957,2,1.53,2.59,0.01,8.91
"382","Diclidurus",7134,6.24914800499997,4,6.89,6.98,4.8,9.51
"383","Dicrostonyx",10298,11.6065768089999,8,4.43,5.73,1.87,12.49
"384","Didelphis",11566,5.04724036899992,6,5.11,5.18,3.55,6.89
"385","Diplomys",9299,1.15249327549998,2,1.32,1.79,0.01,4.97
"386","Dipodomys",11143,8.40470873299995,21,7.84,7.91,6.18,9.82
"387","Dobsonia",8193,5.82112941400001,13,7.55,8.47,4.75,14.66
"388","Dolichotis",9238,8.55820747499996,2,7.4,7.48,4.74,10.11
"389","Dorcopsis",11724,5.73150585649998,4,5.25,5.48,3.15,8.52
"390","Dorcopsulus",11728,1.06110151250002,2,0.85,1.03,0.02,2.6
"391","Dremomys",8915,9.43138494489997,6,7.36,7.43,5.56,9.49
"392","Dryomys",8869,7.66671796699998,3,3.54,4.5,0.07,11.44
"393","Dusicyon",6940,0.416974705999962,2,0.97,1.17,0.01,2.85
"394","Dyacopterus",8357,3.40177909799999,3,4.13,5.73,0.13,16.49
"395","Echimys",9306,5.22679281539996,3,3.33,3.75,0.19,8.2
"396","Echiothrix",9728,1.85397133639995,2,1.05,1.8,0.01,6.11
"397","Echymipera",11594,9.21485593370002,5,8.19,8.25,6.11,10.48
"398","Eidolon",8223,4.46913519420002,2,2.48,2.63,0.76,4.92
"399","Elephantulus",11393,25.175499273,11,27.59,28.3,18.02,38.97
"400","Elephas",11381,1.24082190309997,3,1.67,1.79,0.4,3.42
"401","Eligmodontia",10837,5.34557818859994,7,4.67,4.7,3.35,6.1
"402","Eliomys",8871,7.17636543999998,3,2.17,2.89,0.68,8.04
"403","Eliurus",11059,17.2845715989999,12,14.16,14.3,9.75,18.63
"404","Ellobius",10403,9.16216959819994,5,8.49,8.52,6.29,10.81
"405","Emballonura",7149,25.953129906,10,25.07,25.14,20.36,29.76
"406","Eolagurus",10413,2.80532771119996,2,0.87,1.12,0.01,3.06
"407","Eonycteris",8313,5.33893732799999,3,5.76,5.82,3.83,7.96
"408","Eospalax",9506,5.13076327899998,3,5.58,5.71,3.18,8.18
"409","Eothenomys",10440,5.39049038519994,8,5.53,5.56,4.35,6.85
"410","Episoriculus",6233,18.3913916678,4,16.53,16.61,13.27,20.12
"411","Epomophorus",8329,2.44546476469998,8,2.52,2.58,1.66,3.72
"412","Epomops",8326,2.30036687649999,3,2,2.09,0.2,4.09
"413","Eptesicus",7293,18.70096289,25,18.87,18.87,18.7,19.04
"414","Equus",6417,5.74421566699999,11,6.08,6.25,4.42,8.35
"415","Erinaceus",6397,5.25414800099998,4,4.22,4.28,2.76,5.95
"416","Erophylla",7949,0.288122583100034,2,0.55,0.58,0.11,1.11
"417","Eubalaena",6473,4.36656729799995,3,4.32,4.41,3.33,5.58
